Energy,1547.15,80
Finance,7805.23,53
Consumer Services,946.88,4
Consumer Durables,2768.12,20
Finance,904.54,40
Consumer Services,5069.89,54
Finance,213.91,100
Technology,5313.82,49
Health Care,7311.76,26
Consumer Services,7272.98,56
n/a,4962.2,99
Consumer Services,272.91,65
Consumer Durables,359.32,39
n/a,4415.43,81
Energy,3310.33,53
Consumer Services,8598.87,31
Capital Goods,4983.5,7
Consumer Services,6378.19,20
Health Care,4024.54,28
Consumer Services,8783.71,87
Consumer Services,8929.13,31
Health Care,4818.34,58
Finance,5241.92,26
Finance,4953.97,86
Basic Industries,5102.79,28
Capital Goods,2656.21,17
n/a,6351.58,44
Finance,5919.01,35
Hotel,5906.66,57
Finance,3415.38,64
Technology,693.35,73
Finance,2396.24,44
Finance,5287.07,41
Consumer Services,873.56,78
Finance,4639.23,79
Capital Goods,2322.05,53
Consumer Non-Durables,7291.5,85
Health Care,2681.93,73
Capital Goods,6475.45,50
Technology,1750.21,48
Finance,4910.43,90
Health Care,8612.1,67
n/a,7884.07,20
Consumer Services,8913.19,59
Technology,8327.91,54
Basic Industries,3135.93,89
Consumer Services,2413.05,63
Finance,3137.52,90
Consumer Services,3469.93,64
Technology,352.54,42
