Public Utilities,747.24,7
Consumer Services,8279.9,76
Finance,83.97,28
n/a,1759.92,15
Miscellaneous,3051.3,67
Technology,3939.23,96
Consumer Durables,5079.3,51
Consumer Durables,7614.77,76
n/a,834.72,75
Basic Industries,1055.66,82
Health Care,2403.01,64
Finance,1444.19,87
Health Care,5864.21,84
n/a,5130.36,29
n/a,8603.29,68
n/a,4476.53,68
Basic Industries,6852.58,46
n/a,3181.48,4
Consumer Services,2409.89,62
n/a,4067.38,22
Health Care,2182.83,72
Capital Goods,7145.81,77
Consumer Non-Durables,3770.85,85
Consumer Non-Durables,1112.03,25
Finance,5633.63,57
Miscellaneous,2463.63,70
n/a,1112.65,99
Finance,2106.45,72
Finance,937.63,6
Transportation,6859.82,2
n/a,787.05,80
Health Care,3284.78,78
Consumer Services,8880.11,50
Finance,887.21,78
Finance,3547.16,23
Finance,8802.2,33
Capital Goods,1569.47,34
n/a,5013.01,97
Consumer Services,7241.1,12
Finance,1890.51,45
Consumer Services,1361.31,69
n/a,2135.9,59
Finance,4800.68,89
n/a,2671.47,22
Public Utilities,1784.92,96
Finance,248.56,23
Basic Industries,5262.03,25
Finance,3544.77,68
Consumer Services,7959.85,78
n/a,4159.43,10
Consumer Durables,8561.9,30
Finance,5590.03,12
Miscellaneous,2116.46,100
Finance,3657.21,56
Consumer Durables,1891.76,39
Public Utilities,748.72,54
n/a,1372.91,86
n/a,8080.42,78
n/a,5615.17,100
Consumer Durables,4282.1,97
Finance,3462.45,35
Technology,3438.8,21
Energy,73.95,88
Finance,7126.73,98
Public Utilities,7797.14,1
Transportation,5425.45,47
Public Utilities,6076.27,60
Finance,3009.32,85
Miscellaneous,1649.58,25
Finance,2475.33,66
Health Care,2612.58,20
Consumer Services,1316.06,31
n/a,7164.36,64
Consumer Services,1252.31,75
Basic Industries,350.14,44
n/a,1271.83,36
Public Utilities,1599.23,46
Consumer Services,4433.31,16
Technology,3752.76,11
Consumer Services,1386.14,85
Finance,1689.53,81
n/a,2450.06,51
n/a,3001.39,63
n/a,3521.01,5
Miscellaneous,6037.34,52
Finance,8656.16,73
Technology,6426.09,33
n/a,2821.38,35
Miscellaneous,5535.95,53
Consumer Services,7807.59,69
Consumer Services,5948.13,100
n/a,3826.36,31
Miscellaneous,8174.91,64
Technology,1487.97,9
n/a,8692.96,86
n/a,4319.69,80
n/a,6519.85,17
Finance,2475.04,5
Health Care,2345.78,2
Health Care,437.09,45
Public Utilities,5703.68,92
n/a,7280.37,29
Consumer Services,8400.24,10
n/a,1714.88,60
Consumer Services,5366.38,17
Health Care,1082.14,57
Energy,7879.42,37
n/a,5122.57,25
Finance,6577.13,64
n/a,7801.87,8
Finance,3806.33,56
n/a,1268.73,1
Finance,6146.72,46
Technology,8061.95,3
Public Utilities,7338.59,37
Capital Goods,4527.28,14
Technology,5065.32,6
Public Utilities,5388.14,75
Finance,6977.11,63
Energy,6286.17,85
n/a,8762.53,14
Finance,2342.87,48
Health Care,5173.15,21
n/a,5587.28,31
Capital Goods,5061.92,90
Health Care,257.55,91
Basic Industries,1533.43,81
Capital Goods,7212.72,21
Energy,347.35,67
Health Care,274.66,49
Finance,1025.97,12
Public Utilities,1718.2,68
Consumer Services,2133.62,75
Finance,1277.24,19
Health Care,2676.66,57
Public Utilities,3271.31,34
Health Care,6710.04,9
Public Utilities,7862.91,75
Finance,6500.85,84
Health Care,7721.99,81
Finance,5452.86,87
Consumer Services,2477.94,54
Basic Industries,4412.73,19
n/a,3852.44,44
Consumer Services,7647.62,84
n/a,5982.78,64
Health Care,1846.46,47
n/a,5024.17,53
Energy,6805.09,80
n/a,1685.67,45
Public Utilities,1481.61,61
Technology,3017.51,88
n/a,7597.88,47
Public Utilities,696.48,74
Technology,2818.92,88
Health Care,3799.05,94
Technology,3259.77,24
Consumer Services,8271.58,86
n/a,4295.56,67
Finance,7735.98,34
Health Care,8378.58,68
Consumer Services,7330.28,32
Finance,5486.15,72
n/a,86.88,85
Consumer Non-Durables,1081.02,68
Finance,8812.07,63
n/a,4997.83,90
